602 3
0.573596 0.909431 0.370077 
0.598686 0.548808 0.757063 
0.500695 0.328364 0.997331 
0.499892 0.892798 0.488551 
0.884594 0.731460 0.251124 
0.428040 0.730416 0.743502 
0.767290 0.613007 0.442265 
0.504105 0.758017 0.536446 
0.536653 0.481981 0.846803 
0.869560 0.700212 0.325965 
0.999930 0.184320 0.516250 
0.887098 0.723037 0.254194 
0.300223 0.823937 0.686317 
0.465733 0.897173 0.509346 
0.793270 0.809496 0.221580 
0.301849 0.996808 0.576004 
0.534871 0.701897 0.673685 
0.671926 0.927067 0.222368 
0.451997 0.985825 0.337368 
0.783670 0.597064 0.494332 
0.543054 0.179205 0.997853 
0.368451 0.736292 0.752650 
0.112463 0.923934 0.869767 
0.391405 0.499307 0.947657 
0.691893 0.722921 0.463759 
0.986819 0.622812 0.222374 
0.180344 0.496738 0.999949 
0.013419 0.682488 0.993801 
0.193697 0.745934 0.842723 
0.595814 0.335710 0.919739 
0.912183 0.297755 0.626802 
0.499855 0.352116 0.974015 
0.944191 0.731599 0.158439 
0.608637 0.790054 0.503622 
0.500876 0.928278 0.370050 
0.831245 0.965878 0.194616 
0.617804 0.536614 0.724640 
0.692898 0.564799 0.543073 
0.989754 0.367647 0.383993 
0.942137 0.015460 0.850148 
0.416692 0.997596 0.477007 
0.323408 0.991229 0.506602 
0.713570 0.496983 0.690730 
0.640485 0.733293 0.522484 
0.734501 0.987435 0.100930 
0.549410 0.596354 0.804029 
0.297448 0.723066 0.813419 
0.545177 0.917545 0.405560 
0.312303 0.504905 0.995907 
0.247580 0.814854 0.730330 
0.400526 0.998366 0.303993 
0.939127 0.529072 0.400707 
0.046523 0.607275 0.999352 
0.348869 0.704493 0.809147 
0.728669 0.598903 0.474054 
0.888207 0.680980 0.270800 
0.995533 0.378624 0.343002 
0.610055 0.656676 0.579957 
0.795853 0.594539 0.502876 
0.994800 0.409089 0.319175 
0.314205 0.646117 0.899441 
0.448611 0.170719 0.999733 
0.478770 0.682932 0.724631 
0.697239 0.263129 0.910946 
0.813846 0.152045 0.806586 
0.691797 0.515338 0.656453 
0.969704 0.664089 0.235925 
0.983655 0.458681 0.321119 
0.579761 0.993906 0.196688 
0.022753 0.969376 0.820446 
0.899243 0.642298 0.274431 
0.977767 0.676174 0.162445 
0.861185 0.136924 0.828552 
0.175744 0.739007 0.991195 
0.372316 0.663404 0.794708 
0.533002 0.446037 0.882726 
0.080544 0.671811 0.997083 
0.946836 0.341548 0.607852 
0.624847 0.645310 0.640800 
0.392834 0.480241 0.999398 
0.989619 0.180365 0.597804 
0.505745 0.326873 0.941548 
0.650090 0.412095 0.790720 
0.365344 0.891307 0.577580 
0.391789 0.870041 0.547902 
0.619230 0.178419 0.994042 
0.524321 0.929124 0.315816 
0.559291 0.255398 0.987718 
0.169554 0.769700 0.880718 
0.988661 0.340973 0.438059 
0.230171 0.903275 0.725670 
0.239104 0.880052 0.706216 
0.999878 0.520115 0.123460 
0.227298 0.865040 0.826253 
0.541931 0.296102 0.980546 
0.876524 0.906688 0.115595 
0.987213 0.403401 0.506822 
0.460247 0.995901 0.216192 
0.144301 0.745494 0.905322 
0.627773 0.946414 0.200998 
0.948086 0.723694 0.133056 
0.528988 0.376073 0.911786 
0.598084 0.677407 0.576917 
0.945363 0.770418 0.157810 
0.214187 0.553492 0.976442 
0.093880 0.809977 0.887063 
0.802392 0.214264 0.804252 
0.462012 0.685067 0.702682 
0.570629 0.332013 0.924443 
0.334329 0.899045 0.553246 
0.898459 0.659039 0.258874 
0.714169 0.995821 0.022320 
0.575337 0.284723 0.956599 
0.994886 0.348867 0.405298 
0.514626 0.205850 0.992295 
0.677371 0.601577 0.618949 
0.221062 0.688898 0.881420 
0.728521 0.662020 0.445275 
0.936133 0.050288 0.940657 
0.068454 0.954541 0.864504 
0.600384 0.590024 0.677255 
0.408595 0.806880 0.685885 
0.985516 0.432072 0.296385 
0.971657 0.093127 0.842481 
0.037783 0.808174 0.927899 
0.777728 0.484227 0.592116 
0.365582 0.741125 0.774313 
0.810664 0.030790 0.968259 
0.878190 0.779364 0.207099 
0.999936 0.452933 0.101037 
0.667107 0.521649 0.710711 
0.577409 0.559475 0.758352 
0.666754 0.352708 0.783532 
0.196301 0.948308 0.689105 
0.998815 0.056438 0.709048 
0.187554 0.718721 0.880361 
0.654060 0.666225 0.547173 
0.818917 0.717058 0.312433 
0.951730 0.637748 0.248964 
0.677986 0.180641 0.981928 
0.999939 0.082378 0.634212 
0.571104 0.995566 0.230297 
0.751884 0.534964 0.565112 
0.999414 0.093518 0.557486 
0.999639 0.268134 0.557428 
0.342462 0.801615 0.732882 
0.369749 0.808364 0.639653 
0.343163 0.774612 0.686607 
0.517236 0.341131 0.912739 
0.444639 0.693496 0.677917 
0.195087 0.619633 0.979719 
0.762165 0.664300 0.395156 
0.153740 0.886634 0.842874 
0.721114 0.589162 0.520708 
0.988554 0.350517 0.465532 
0.285606 0.758890 0.785293 
0.404484 0.205298 0.999236 
0.162627 0.762172 0.886791 
0.229362 0.911129 0.715458 
0.958703 0.259305 0.627492 
0.703446 0.118094 0.965702 
0.653587 0.930288 0.229428 
0.218241 0.661587 0.902115 
0.506562 0.320335 0.985545 
0.855236 0.707656 0.293243 
0.684295 0.611376 0.558420 
0.731020 0.683190 0.432440 
0.429965 0.999182 0.264872 
0.965332 0.456337 0.579457 
0.555961 0.806224 0.488298 
0.595818 0.785878 0.512992 
0.473899 0.454062 0.998409 
0.636843 0.068245 0.996525 
0.451172 0.998028 0.201525 
0.777841 0.839486 0.202246 
0.912402 0.562968 0.410515 
0.839841 0.601858 0.459780 
0.695656 0.216293 0.947958 
0.476347 0.810591 0.552554 
0.531847 0.922684 0.327864 
0.215039 0.745646 0.868156 
0.292403 0.942296 0.611185 
0.507123 0.399615 0.911643 
0.422628 0.742828 0.721988 
0.629034 0.229138 0.936310 
0.908312 0.305428 0.667397 
0.915269 0.468033 0.469589 
0.470284 0.812656 0.577234 
0.680262 0.343872 0.779026 
0.718227 0.979987 0.114901 
0.179317 0.665189 0.945381 
0.566211 0.451847 0.862674 
0.572218 0.543467 0.832137 
0.025032 0.526941 1.000000 
0.050951 0.819565 0.896775 
0.358254 0.764376 0.745569 
0.214961 0.656006 0.948843 
0.613845 0.993317 0.298238 
0.561024 0.145642 0.999757 
0.243624 0.651404 0.922199 
0.982524 0.642846 0.138551 
0.999935 0.159654 0.512273 
0.237342 0.767528 0.769634 
0.999433 0.464383 0.197423 
0.975059 0.543922 0.311620 
0.387841 0.622652 0.880673 
0.302242 0.940144 0.596401 
0.278835 0.769712 0.735960 
0.585270 1.000000 0.053573 
0.277304 0.711886 0.827893 
0.277241 0.889266 0.661237 
0.308642 0.616915 0.926934 
0.754912 0.808850 0.239291 
0.807653 0.788583 0.385459 
0.488546 0.678060 0.685668 
0.435678 0.779072 0.595042 
0.238421 0.897653 0.705519 
0.993842 0.602235 0.272419 
0.296685 0.767225 0.774581 
0.882038 0.846680 0.132847 
0.890440 0.261915 0.762867 
0.428590 0.988369 0.436246 
0.433822 0.726739 0.701609 
0.253688 0.722659 0.863609 
0.828160 0.426735 0.590594 
0.241886 0.927912 0.701664 
0.999836 0.199551 0.346454 
0.331967 0.911098 0.585668 
0.506369 0.911790 0.441861 
0.460794 0.150728 0.998671 
0.531432 0.422375 0.910523 
0.987990 0.007710 0.741135 
0.698881 0.709019 0.414789 
0.738013 0.549886 0.537763 
0.618037 0.017290 0.998976 
0.521517 0.745902 0.617668 
0.002995 0.975061 0.868613 
0.822445 0.993783 0.057890 
0.811754 0.127716 0.842480 
0.866484 0.327796 0.801435 
0.891025 0.879727 0.066294 
0.515556 0.868353 0.447776 
0.487609 0.905887 0.468939 
0.602052 0.584192 0.723479 
0.284493 0.359263 0.999650 
0.892207 0.194070 0.761146 
0.626843 0.481414 0.725975 
0.963816 0.167213 0.769668 
0.571533 0.980066 0.305927 
0.852137 0.546432 0.467171 
0.235451 0.539882 0.989752 
0.330708 0.917988 0.543309 
0.994503 0.088124 0.717374 
0.914401 0.483434 0.408527 
0.209602 0.905747 0.744089 
0.982090 0.418855 0.338576 
0.171750 0.997193 0.639683 
0.310985 0.689523 0.825699 
0.641076 0.205046 0.962138 
0.879649 0.098370 0.956286 
0.762121 0.636675 0.401366 
0.371082 0.569880 0.972003 
0.902176 0.837946 0.107188 
0.999263 0.634604 0.055842 
0.324175 0.688295 0.840569 
0.870084 0.418693 0.580013 
0.283805 0.639531 0.912822 
0.578555 0.708312 0.545852 
0.195322 0.588033 0.979076 
0.631587 0.936445 0.258106 
0.794130 0.316165 0.888154 
0.715853 0.930720 0.207419 
0.570442 0.616871 0.654510 
0.880762 0.132871 0.795511 
0.658937 0.613289 0.590825 
0.871903 0.799915 0.178163 
0.791467 0.434137 0.742079 
0.069949 0.997320 0.732314 
0.006325 0.843560 0.907583 
0.540710 0.998393 0.191684 
0.724047 0.826181 0.367514 
0.418380 0.997981 0.303570 
0.516280 0.841185 0.478209 
0.676689 0.580603 0.637981 
0.721477 0.414509 0.750258 
0.756073 0.654392 0.442494 
0.246152 0.998180 0.532889 
0.316331 0.736301 0.812003 
0.978749 0.458725 0.357741 
0.179959 0.953367 0.726748 
0.644709 0.999253 0.102477 
0.726597 0.881140 0.204613 
0.512387 0.702353 0.633952 
0.993237 0.115285 0.661474 
0.924078 0.808700 0.113259 
0.696689 0.902635 0.441448 
0.592608 0.799924 0.450271 
0.214086 0.544499 0.998780 
0.894874 0.330173 0.628012 
0.581633 0.050838 0.999274 
0.876919 0.353988 0.587659 
0.199697 0.707214 0.883683 
0.998949 0.026101 0.657072 
0.360704 0.810005 0.627176 
0.453816 0.974057 0.382424 
0.182537 0.845826 0.852563 
0.858296 0.727577 0.288829 
0.518314 0.182208 0.994403 
0.260734 0.733903 0.825821 
0.879809 0.847592 0.094798 
0.520919 0.862598 0.457871 
0.408254 0.483232 0.930089 
0.992163 0.177936 0.603617 
0.998877 0.308250 0.593394 
0.745296 0.451395 0.631220 
0.417660 0.348626 0.998960 
0.855784 0.628420 0.431969 
0.671438 0.633863 0.576107 
0.194512 0.926565 0.781049 
0.618662 0.571541 0.655252 
0.360342 0.994901 0.503060 
0.319602 0.696172 0.822858 
0.391536 0.998801 0.282516 
0.329485 0.896852 0.607823 
0.596185 0.281479 0.987688 
0.790305 0.633884 0.419185 
0.503077 0.483511 0.837978 
0.358634 0.998329 0.315691 
0.615558 0.553480 0.666939 
0.304795 0.804156 0.687245 
0.890285 0.647066 0.278071 
0.487802 0.330762 0.995074 
0.240156 0.766677 0.811840 
0.732356 0.527822 0.615861 
0.796065 0.177055 0.828957 
0.462097 0.864793 0.558319 
0.242432 0.801993 0.754269 
0.330443 0.892742 0.654573 
0.397702 0.660335 0.785481 
0.370284 0.999688 0.266482 
0.318622 0.921570 0.643637 
0.503159 0.707596 0.674968 
0.609336 0.264992 0.949146 
0.635498 0.396896 0.868119 
0.760756 0.519500 0.625468 
0.999759 0.250798 0.361585 
0.996232 0.549942 0.240380 
0.997678 0.597427 0.160583 
0.614984 0.689604 0.574606 
0.230232 0.803750 0.732939 
0.901384 0.503692 0.545359 
0.582342 0.750846 0.543504 
0.249546 0.998022 0.551224 
0.785973 0.099630 0.979631 
0.532009 0.737718 0.559486 
0.999806 0.527231 0.138329 
0.457953 0.767402 0.611082 
0.608565 0.581914 0.644448 
0.546803 0.960179 0.311733 
0.454394 0.454784 0.972823 
0.400105 0.545260 0.945199 
0.943614 0.861572 0.004697 
0.258011 0.700945 0.857717 
0.517790 0.309943 0.962109 
0.100474 0.769123 0.957880 
0.239392 0.999963 0.343559 
0.997819 0.371947 0.257382 
0.446156 0.868774 0.551573 
0.937599 0.701298 0.196900 
0.294017 0.864203 0.682225 
0.998898 0.584872 0.137345 
0.119943 0.968758 0.744953 
0.812993 0.394285 0.667508 
0.975442 0.041121 0.759591 
0.975516 0.512130 0.360544 
0.531534 0.351463 0.910328 
0.313781 0.999963 0.336121 
0.770956 0.176082 0.912367 
0.997725 0.510605 0.295487 
0.271396 0.802513 0.724482 
0.747246 0.856831 0.243534 
0.515051 0.980302 0.327378 
0.559427 0.637217 0.649689 
0.411994 0.816609 0.587308 
0.086102 0.999769 0.379749 
0.770537 0.479528 0.617712 
0.327274 0.549226 0.983346 
0.910902 0.251226 0.726958 
0.680878 0.992686 0.167043 
0.198185 0.868019 0.804087 
0.266305 0.529241 0.996167 
0.043995 0.999802 0.516038 
0.274452 0.943741 0.606230 
0.806665 0.528490 0.508644 
0.053051 0.959904 0.824077 
0.812405 0.413801 0.675855 
0.485579 0.765866 0.526397 
0.796293 0.173686 0.922305 
0.810292 0.633321 0.412322 
0.686425 0.537684 0.543695 
0.265492 0.999205 0.450744 
0.822385 0.579122 0.492551 
0.261939 0.907291 0.696407 
0.605992 0.250952 0.957009 
0.717231 0.678705 0.529786 
0.870678 0.643473 0.340299 
0.726128 0.968940 0.105953 
0.449245 0.974814 0.476820 
0.777994 0.571515 0.511011 
0.669365 0.763700 0.484963 
0.417089 0.480096 0.920661 
0.463445 0.993772 0.294664 
0.839022 0.814400 0.165946 
0.764858 0.489752 0.605405 
0.545250 0.812202 0.481786 
0.479074 0.812295 0.550686 
0.980028 0.009529 0.790080 
0.280371 0.924050 0.635456 
0.377620 0.643096 0.902147 
0.123195 0.632979 0.995830 
0.544030 0.218332 0.988159 
0.864421 0.754487 0.278818 
0.796440 0.157551 0.857773 
0.617552 0.791739 0.449287 
0.113982 0.989821 0.781711 
0.514381 0.662219 0.680769 
0.564888 0.997858 0.179636 
0.557166 0.630398 0.684326 
0.113260 0.942168 0.794962 
0.628338 0.402883 0.798362 
0.829616 0.698508 0.362137 
0.634992 0.433864 0.773480 
0.950161 0.694594 0.124579 
0.666702 0.055367 0.998105 
0.926607 0.169823 0.753382 
0.556038 0.827364 0.469094 
0.432560 0.776948 0.597506 
0.769057 0.509075 0.531024 
0.550466 0.803199 0.503871 
0.880413 0.199410 0.780859 
0.233371 0.838388 0.731098 
0.252193 0.940483 0.685408 
0.000911 0.997968 0.630130 
0.129686 0.961510 0.723004 
0.656885 0.317530 0.928147 
0.872170 0.336973 0.617214 
0.252224 0.989426 0.685188 
0.452688 0.188655 0.999689 
0.451860 0.995079 0.333963 
0.866993 0.912738 0.057678 
0.999468 0.374015 0.207618 
0.704165 0.425334 0.752362 
0.793299 0.799137 0.215262 
0.763515 0.149543 0.953726 
0.985319 0.235062 0.735608 
0.281845 0.997602 0.476218 
0.963100 0.740295 0.111866 
0.999946 0.341934 0.342205 
0.866559 0.792590 0.209841 
0.967024 0.635889 0.382049 
0.474374 0.847472 0.572114 
0.676326 0.962477 0.197657 
0.198987 0.636892 0.968312 
0.702003 0.988375 0.068289 
0.706599 0.109207 0.995588 
0.259691 0.677488 0.868938 
0.167133 0.999541 0.606353 
0.339587 0.589492 0.970687 
0.040975 0.859531 0.895841 
0.899194 0.057778 0.867456 
0.834611 0.732606 0.311907 
0.117191 0.512283 0.999951 
0.998667 0.640843 0.118507 
0.610895 0.959058 0.312867 
0.378419 0.954728 0.531873 
0.700399 0.694531 0.394971 
0.034320 0.996162 0.748702 
0.674530 0.920328 0.306339 
0.993253 0.171773 0.611800 
0.637768 0.659524 0.560645 
0.665312 0.354089 0.823657 
0.371664 0.844043 0.593053 
0.566484 0.443858 0.836139 
